time,close,high,low,open,volumefrom,volumeto
1492646400,65.96,70.5,65.63,70,8027.96,572633.56
1492732800,68.83,70.17,65.96,65.96,8159.67,586508.16
1492819200,68,69.67,67.21,68.83,3904.74,286103.73
1492905600,68.53,69.15,66.89,68,4484.33,328365.21
1492992000,67.58,69.64,66.88,68.53,3226.53,236019.3
1493078400,69.9,70,67.58,67.58,3333.84,247474.17
1493164800,72.5,75.89,69.08,69.9,17774.77,1390329.05
1493251200,78.4,81,71.67,72.5,10143.53,832295.97
1493337600,85,88.66,77.05,78.4,12067.43,1050311.92
1493424000,96,98.6,83.21,85,13405.36,1318842.88
1493510400,92.72,100.72,86.66,96,18888.78,1918476.12
1493596800,87.06,108,76,92.72,31757.61,3165721.12
1493683200,93.5,95.9,86.31,87.06,18718.79,1854539.32
1493769600,92.93,95,86,93.5,19842.63,1913614.83
1493856000,98.75,103.68,90.01,92.93,16888.04,1740190.77
1493942400,100.25,113.5,97.05,98.75,17384.68,1867859.4
1494028800,105.32,109,100.25,100.25,9936.23,1064268.16
1494115200,95,107.09,90,105.32,12068.1,1276417.27
1494201600,103.25,108.5,95,95,11139.35,1201683.27
1494288000,94.39,103.97,85.01,103.25,18187.62,1762434.24
1494374400,96.89,102,92,94.39,9315.16,917972.74
1494460800,93.52,99.71,92,96.89,7253.29,707556.23
1494547200,96.52,101.8,93.49,93.52,7266.33,725672.33
1494633600,95.75,99,93,96.52,3900.21,376677.32
1494720000,95.95,98,93,95.75,4048.49,393071.71
1494806400,94,97.96,92.66,95.95,3959.83,381016.44
1494892800,91.32,95.2,90,94,3244.94,302422.2
1494979200,92.97,95.65,86,91.32,4128.21,375871.43
1495065600,94.27,95.9,87.18,92.97,6967.09,648057.83
1495152000,103.82,107.41,94.27,94.27,11949.62,1232785.07
1495238400,104.85,108.86,103.57,103.82,5245.49,558045.19
1495324800,118.34,122.23,103.13,104.85,12787.22,1437479.54
1495411200,198.77,300,99.99,118.34,55306.4,11126473.1
1495497600,231.79,298.8,188.11,198.77,30883.42,7595502.87
1495584000,232.2,284.9,225,231.79,21958.05,5518680.42
1495670400,216.74,271.95,192.28,232.2,27327.15,6123257.88
1495756800,200,249.81,156.68,216.74,23700.85,4824296.5
1495843200,180.99,205.06,131.27,200,31236.82,5186057.94
1495929600,190.42,211,177.91,180.99,15982.22,3008300.29
1496016000,201.96,209.93,182,190.42,13900.93,2683580.76
1496102400,223.73,249,201.11,201.96,20651.36,4610516.46
1496188800,231.36,249,223.73,223.73,12926.95,2955256.75
1496275200,245.73,269,228,231.36,13107.1,3166940.29
1496361600,237.83,258,237.71,245.73,7571.59,1806440.98
1496448000,225.94,244.66,220.13,237.83,7083.74,1602345.34
1496534400,238.87,242.93,219.83,225.94,5204.78,1206565.51
1496620800,246.46,273.1,231.95,238.87,15907.78,3973251.86
1496707200,256.8,298.01,240.82,246.46,15679.89,3933026.96
1496793600,264.69,325.92,253.58,256.8,28258.09,7924436.61
1496880000,270.26,289.91,259.9,264.69,12401.96,3372054.75
